City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
6,Pascagoula,US,87.85,few clouds,30.3658,-88.5561,Regency Inn
10,Kapaa,US,77.32,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Bethel,US,79.63,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
12,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Oistins,BB,89.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
25,Clifton,US,80.55,overcast clouds,40.8584,-74.1638,Quality Urban Housing
26,Siniscola,IT,85.55,clear sky,40.5719,9.6922,Hotel Sa Tanca E Bore
29,Albany,US,79.23,clear sky,42.6001,-73.9662,
32,Atuona,PF,77.18,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
35,Hithadhoo,MV,82.29,broken clouds,-0.6,73.0833,Scoop Guest House
36,Jamestown,US,82.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
38,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
40,Kulhudhuffushi,MV,80.71,moderate rain,6.6221,73.07,Haajy Guest House 1
41,Goderich,CA,77.92,overcast clouds,43.7501,-81.7165,Harmony Inn
42,Jalu,LY,94.46,clear sky,29.0331,21.5482,صاحبة الفخامة
46,Miramar,US,93.22,few clouds,25.9873,-80.2323,Stadium Hotel
50,Abha,SA,78.62,few clouds,18.2164,42.5053,Abha Hotel
53,Carutapera,BR,86.13,overcast clouds,-1.195,-46.02,Lidera
54,San Patricio,US,91.26,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
57,Lingao,CN,80.69,broken clouds,19.9103,109.6859,Lingao Ditai Inn
59,Castro,BR,78.44,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
67,Krasnoarmeysk,RU,79.38,overcast clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
70,Vung Tau,VN,81.14,broken clouds,10.346,107.0843,Seaside Resort
74,Laguna,US,78.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
75,Kikwit,CD,85.1,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
79,Gat,IL,90.39,clear sky,31.61,34.7642,OlusHome
81,Ruwi,OM,85.69,clear sky,23.5996,58.5507,Al Falaj Hotel
82,Hilo,US,78.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
83,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
86,Merauke,ID,77.05,broken clouds,-8.4667,140.3333,
87,Nikolskoye,RU,82.29,broken clouds,59.7035,30.7861,Tourist House - Sablino
