City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,2022-08-22 01:25:35,-21.3585,55.7679,63.21,75,24,10.4
1,Arraial Do Cabo,BR,2022-08-22 01:25:35,-22.9661,-42.0278,65.98,69,82,10.54
2,Ahipara,NZ,2022-08-22 01:25:35,-35.1667,173.1667,60.69,67,13,14.54
3,Ulaanbaatar,MN,2022-08-22 01:20:48,47.9077,106.8832,46.53,76,40,4.47
4,Thompson,CA,2022-08-22 01:25:36,55.7435,-97.8558,60.96,63,75,10.36
5,Vaini,TO,2022-08-22 01:24:49,-21.2,-175.2,77.16,83,40,12.66
6,Hermanus,ZA,2022-08-22 01:25:36,-34.4187,19.2345,53.8,84,39,5.77
7,Bredasdorp,ZA,2022-08-22 01:21:45,-34.5322,20.0403,48.13,93,11,5.64
8,Sitka,US,2022-08-22 01:25:37,57.0531,-135.33,60.69,88,40,3.44
9,Silver City,US,2022-08-22 01:25:37,32.7701,-108.2803,69.76,95,100,4.61
10,Sur,OM,2022-08-22 01:25:37,22.5667,59.5289,86.86,67,100,1.21
11,Mookane,BW,2022-08-22 01:25:38,-23.688,26.6595,51.19,73,0,8.41
12,Bluff,NZ,2022-08-22 01:25:38,-46.6,168.3333,50.81,61,5,11.63
13,Pulaski,US,2022-08-22 01:25:38,34.7668,-92.3001,79.11,86,100,4.61
14,Busselton,AU,2022-08-22 01:25:43,-33.65,115.3333,52.68,65,4,13.22
15,Lavrentiya,RU,2022-08-22 01:25:43,65.5833,-171.0,47.21,58,56,2.46
16,Chifeng,CN,2022-08-22 01:22:49,42.2683,118.9636,73.11,47,0,21.05
17,Avarua,CK,2022-08-22 01:25:44,-21.2078,-159.775,75.25,94,100,9.22
18,Mount Isa,AU,2022-08-22 01:23:14,-20.7333,139.5,76.77,29,0,10.36
19,Aguadilla,PR,2022-08-22 01:25:44,18.4275,-67.1541,78.66,91,75,5.75
20,Mahebourg,MU,2022-08-22 01:25:44,-20.4081,57.7,70.25,83,40,9.22
21,Jamestown,US,2022-08-22 01:23:31,42.097,-79.2353,67.59,73,100,5.75
22,Manica,FR,2022-08-22 01:25:45,49.0,-1.1667,59.7,93,100,2.8
23,Phangnga,TH,2022-08-22 01:25:45,8.4509,98.5298,73.44,92,100,3.78
24,Cape Town,ZA,2022-08-22 01:22:09,-33.9258,18.4232,54.12,85,20,5.75
25,Raahe,FI,2022-08-22 01:25:45,64.6833,24.4833,62.69,93,100,17.92
26,Punta Arenas,CL,2022-08-22 01:25:46,-53.15,-70.9167,39.31,81,75,16.11
27,Victoria,HK,2022-08-22 01:25:46,22.2855,114.1577,90.25,78,100,4.0
28,Bethel,US,2022-08-22 01:25:46,41.3712,-73.414,75.36,79,0,0.0
29,Kodiak,US,2022-08-22 01:25:47,57.79,-152.4072,54.91,94,100,21.85
30,Neryungri,RU,2022-08-22 01:25:47,56.6709,124.6491,48.9,82,97,6.04
31,Digkilaan,PH,2022-08-22 01:25:47,8.2511,124.3172,82.65,64,100,2.48
32,Nanortalik,GL,2022-08-22 01:25:48,60.1432,-45.2371,38.84,93,7,5.7
33,Ojinaga,MX,2022-08-22 01:25:48,29.5667,-104.4167,88.75,51,40,5.75
34,Nikolskoye,RU,2022-08-22 01:25:49,59.7035,30.7861,62.49,68,28,5.61
35,Kudahuvadhoo,MV,2022-08-22 01:25:49,2.6708,72.8944,82.38,72,67,14.99
36,Puerto Ayora,EC,2022-08-22 01:24:50,-0.7393,-90.3518,67.55,94,60,5.01
37,Soyo,AO,2022-08-22 01:25:49,-6.1349,12.3689,70.03,92,28,4.41
38,Kaitangata,NZ,2022-08-22 01:25:50,-46.2817,169.8464,50.23,62,73,5.03
39,Ust-Kut,RU,2022-08-22 01:25:50,56.7938,105.7672,51.6,94,100,8.79
40,Georgetown,MY,2022-08-22 01:25:50,5.4112,100.3354,82.33,86,20,10.36
41,Rikitea,PF,2022-08-22 01:25:51,-23.1203,-134.9692,70.92,69,100,16.89
42,Zhigansk,RU,2022-08-22 01:25:51,66.7697,123.3711,40.75,90,100,4.85
43,Fayaoue,NC,2022-08-22 01:25:51,-20.65,166.5333,74.82,75,8,13.42
44,Mar Del Plata,AR,2022-08-22 01:24:03,-38.0023,-57.5575,50.09,87,100,8.01
45,Atuona,PF,2022-08-22 01:26:53,-9.8,-139.0333,76.53,66,27,16.28
46,Samarai,PG,2022-08-22 01:26:53,-10.6167,150.6667,78.94,84,100,17.22
47,Abha,SA,2022-08-22 01:26:53,18.2164,42.5053,64.22,68,0,0.0
48,Vestmannaeyjar,IS,2022-08-22 01:26:53,63.4427,-20.2734,51.03,81,100,15.05
49,Oksfjord,NO,2022-08-22 01:26:54,70.2396,22.3479,64.58,92,100,10.09
50,Oranjemund,NA,2022-08-22 01:26:54,-28.55,16.4333,55.33,67,0,7.85
51,Espanola,US,2022-08-22 01:26:41,35.9911,-106.0806,74.14,57,77,3.0
52,Hithadhoo,MV,2022-08-22 01:26:54,-0.6,73.0833,82.06,77,47,12.68
53,Severo-Kurilsk,RU,2022-08-22 01:23:59,50.6789,156.125,60.98,88,100,5.37
54,Ribeira Grande,PT,2022-08-22 01:26:55,38.5167,-28.7,72.84,81,75,7.49
55,Eyl,SO,2022-08-22 01:26:55,7.9803,49.8164,75.49,81,39,20.62
56,Fortuna,US,2022-08-22 01:26:56,40.5982,-124.1573,72.93,74,0,9.22
57,Albany,US,2022-08-22 01:26:56,42.6001,-73.9662,78.64,62,100,3.0
58,Hamilton,US,2022-08-22 01:26:56,39.1834,-84.5333,73.78,89,100,4.61
59,Bairiki,KI,2022-08-22 01:26:57,1.3292,172.9752,86.0,70,40,13.8
60,Castro,BR,2022-08-22 01:22:55,-24.7911,-50.0119,47.64,97,7,4.18
61,Qaanaaq,GL,2022-08-22 01:26:57,77.484,-69.3632,33.37,65,99,5.35
62,Cidreira,BR,2022-08-22 01:26:57,-30.1811,-50.2056,55.83,89,0,5.86
63,Tromso,NO,2022-08-22 01:26:57,69.6496,18.957,58.37,94,75,4.61
64,Bathsheba,BB,2022-08-22 01:26:58,13.2167,-59.5167,83.01,78,20,10.36
65,Saint George,US,2022-08-22 01:26:58,37.1041,-113.5841,84.79,45,0,9.22
66,Vardo,NO,2022-08-22 01:26:58,70.3705,31.1107,60.78,77,100,10.36
67,Hilo,US,2022-08-22 01:26:59,19.7297,-155.09,83.93,70,0,11.5
68,Margate,GB,2022-08-22 01:26:59,51.3813,1.3862,58.3,74,47,6.44
69,Butaritari,KI,2022-08-22 01:26:59,3.0707,172.7902,82.83,72,34,16.96
70,Kantunilkin,MX,2022-08-22 01:27:00,21.0917,-87.45,82.13,72,88,4.74
71,Kapaa,US,2022-08-22 01:27:00,22.0752,-159.319,84.18,64,75,17.27
72,Zhangye,CN,2022-08-22 01:27:00,38.9342,100.4517,68.02,51,87,1.97
73,New Norfolk,AU,2022-08-22 01:27:01,-42.7826,147.0587,49.91,82,100,1.99
74,Sychevka,RU,2022-08-22 01:27:01,55.8252,34.2736,65.05,38,100,13.13
75,Morros,BR,2022-08-22 01:27:06,-9.4467,-46.3003,76.01,32,94,4.74
76,Geraldton,AU,2022-08-22 01:27:06,-28.7667,114.6,54.01,87,100,18.41
77,Lompoc,US,2022-08-22 01:27:06,34.6391,-120.4579,80.02,81,20,9.22
78,Utica,US,2022-08-22 01:22:44,43.1009,-75.2327,73.72,82,100,4.54
79,Lagoa,PT,2022-08-22 01:27:07,39.05,-27.9833,72.48,81,44,8.99
80,Aklavik,CA,2022-08-22 01:27:07,68.2191,-135.0107,42.48,86,100,10.16
