City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Grand-Santi,GF,2022-08-28 15:27:02,4.25,-54.3833,91.67,47,62,3.04
1,Belyy Yar,RU,2022-08-28 15:27:03,53.6039,91.3903,52.86,64,0,2.24
2,Saint-Philippe,RE,2022-08-28 15:27:03,-21.3585,55.7679,73.22,88,47,10.47
3,Timra,SE,2022-08-28 15:27:04,62.487,17.3257,67.68,51,40,11.5
4,Qaanaaq,GL,2022-08-28 15:27:04,77.484,-69.3632,34.32,62,93,4.0
5,Albany,US,2022-08-28 15:25:10,42.6001,-73.9662,75.67,77,2,3.0
6,Pangnirtung,CA,2022-08-28 15:27:05,66.1451,-65.7125,46.62,55,98,0.29
7,Geraldton,AU,2022-08-28 15:27:05,-28.7667,114.6,52.21,93,100,2.3
8,Atuona,PF,2022-08-28 15:27:05,-9.8,-139.0333,77.11,68,30,21.05
9,Cabo San Lucas,MX,2022-08-28 15:27:06,22.8909,-109.9124,88.05,65,40,2.3
10,Ushuaia,AR,2022-08-28 15:27:06,-54.8,-68.3,40.66,81,40,5.75
11,Esperance,AU,2022-08-28 15:27:06,-33.8667,121.9,52.65,56,100,11.43
12,Noumea,NC,2022-08-28 15:27:07,-22.2763,166.4572,71.01,99,100,12.28
13,Mataura,NZ,2022-08-28 15:27:07,-46.1927,168.8643,36.21,98,11,2.48
14,Kapaa,US,2022-08-28 15:27:07,22.0752,-159.319,77.32,88,40,16.11
15,Punta Arenas,CL,2022-08-28 15:26:51,-53.15,-70.9167,44.71,70,75,19.57
16,Cape Town,ZA,2022-08-28 15:24:03,-33.9258,18.4232,61.21,54,40,12.66
17,Thompson,CA,2022-08-28 15:27:08,55.7435,-97.8558,62.76,100,100,3.44
18,Hobart,AU,2022-08-28 15:26:30,-42.8794,147.3294,49.26,91,75,0.0
19,Kawhia,NZ,2022-08-28 15:27:08,-38.0651,174.8183,45.19,80,5,7.05
20,Bethel,US,2022-08-28 15:27:09,41.3712,-73.414,77.36,79,100,6.91
21,Rikitea,PF,2022-08-28 15:27:09,-23.1203,-134.9692,71.78,73,100,22.75
22,Saint-Augustin,CA,2022-08-28 15:27:09,51.226,-58.6502,71.83,38,58,22.24
23,Abrau-Dyurso,RU,2022-08-28 15:27:10,44.69,37.59,83.48,71,0,8.08
